date,level,country,lat,long,population,tz,state_abbr
2020-07-19,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-07-20,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-07-21,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-07-22,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-07-23,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-07-24,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-07-25,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-07-26,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-07-27,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-07-28,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-07-29,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-07-30,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-07-31,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-08-01,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-08-02,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-08-03,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-08-04,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-08-05,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-08-06,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-08-07,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-08-08,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-08-09,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-08-10,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-08-11,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-08-12,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-08-13,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-08-14,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-08-15,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-08-16,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-08-17,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-08-18,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-08-19,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-08-20,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-08-21,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-08-22,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-08-23,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-08-24,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-08-25,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-08-26,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-08-27,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-08-28,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-08-29,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-08-30,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-08-31,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-09-01,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-09-02,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-09-03,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-09-04,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-09-05,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-09-06,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-09-07,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-09-08,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-09-09,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-09-10,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-09-11,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-09-12,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
